# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileChildByName,1764433570484000000,1764433623631000000,10
VFS.fileByIdCache.misses,1764433570484000000,1764433623631000000,0
VFS.fileByIdCache.hits,1764433570484000000,1764433623631000000,0
VFS.invertedFileNameIndex.requests,1764433570484000000,1764433623631000000,0
VFS.folderCaseSensitivityReads,1764433570484000000,1764433623631000000,9
Indexing.cache.totalCacheAccesses,1764433570484000000,1764433623631000000,0
Indexing.writesQueuedMax,1764433570484000000,1764433623631000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1764433570484000000,1764433623631000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1764433570484000000,1764433623631000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1764433570484000000,1764433623631000000,0
Indexing.cache.totalCacheEvicted,1764433570484000000,1764433623631000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1764433570484000000,1764433623631000000,0
Indexing.cache.totalCacheMisses,1764433570484000000,1764433623631000000,0
Indexing.totalTimeIndexersSleptMs,1764433570484000000,1764433623631000000,0
Indexing.writesQueuedMin,1764433570484000000,1764433623631000000,9223372036854775807
DirectByteBufferAllocator.reclaimed,1764433570484000000,1764433623631000000,43
FilePageCache.pageFastCacheHits,1764433570484000000,1764433623631000000,4851
DirectByteBufferAllocator.misses,1764433570484000000,1764433623631000000,68
StorageLockContext.competingThreads.max,1764433570484000000,1764433623631000000,0
FilePageCache.disposedBuffers,1764433570484000000,1764433623631000000,71
DirectByteBufferAllocator.disposed,1764433570484000000,1764433623631000000,28
FileChannelInterruptsRetryer.totalRetriedAttempts,1764433570484000000,1764433623631000000,0
StorageLockContext.competingThreads.avg,1764433570484000000,1764433623631000000,0.0
FilePageCache.pageLoads,1764433570484000000,1764433623631000000,71
FilePageCache.uncachedFileAccess,1764433570484000000,1764433623631000000,118
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1764433570484000000,1764433623631000000,41943040
FilePageCache.maxCacheSizeInBytes,1764433570484000000,1764433623631000000,71303168
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1764433570484000000,1764433623631000000,41943040
FilePageCache.totalPageDisposalsUs,1764433570484000000,1764433623631000000,4001
FilePageCache.maxRegisteredFiles,1764433570484000000,1764433623631000000,186
StorageLockContext.competingThreads.90P,1764433570484000000,1764433623631000000,0
DirectByteBufferAllocator.hits,1764433570484000000,1764433623631000000,3
FilePageCache.pageLoadsAboveSizeThreshold,1764433570484000000,1764433623631000000,0
FilePageCache.pageHits,1764433570484000000,1764433623631000000,0
FilePageCache.totalPageLoadsUs,1764433570484000000,1764433623631000000,220338
FilePageCache.capacityInBytes,1764433570484000000,1764433623631000000,629145600
jps.library.entities.serializer.save.entities.ms,1764433570484000000,1764433623631000000,0
workspaceModel.global.apply.state.to.project.ms,1764433570484000000,1764433623631000000,0
workspaceModel.save.cache.to.file.ms,1764433570484000000,1764433623631000000,0
workspaceModel.load.cache.from.file.ms,1764433570484000000,1764433623631000000,2
workspaceModel.moduleManagerBridge.get.modules.ms,1764433570484000000,1764433623631000000,6
workspaceModel.moduleManagerBridge.newModule.ms,1764433570484000000,1764433623631000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1764433570484000000,1764433623631000000,0
jps.global.get.library.by.name.ms,1764433570484000000,1764433623631000000,0
jps.app.storage.content.reader.load.component.ms,1764433570484000000,1764433623631000000,9
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1764433570484000000,1764433623631000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1764433570484000000,1764433623631000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1764433570484000000,1764433623631000000,0
workspaceModel.do.save.caches.ms,1764433570484000000,1764433623631000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1764433570484000000,1764433623631000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1764433570484000000,1764433623631000000,0
workspaceModel.mutableEntityStorage.entities.ms,1764433570484000000,1764433623631000000,1
