# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.calculated.count,1764456975705000000,1764457024565000000,0
workspaceModel.update.unloaded.entities.ms,1764456975705000000,1764457024565000000,0
workspaceModel.updates.ms,1764456975705000000,1764457024565000000,0
workspaceModel.updates.count,1764456975705000000,1764457024565000000,0
workspaceModel.loading.total.ms,1764456975705000000,1764457024565000000,362
workspaceModel.cachedValueWithParameters.from.cache.count,1764456975705000000,1764457024565000000,0
workspaceModel.replace.project.model.ms,1764456975705000000,1764457024565000000,0
workspaceModel.loading.from.cache.ms,1764456975705000000,1764457024565000000,335
workspaceModel.to.snapshot.ms,1764456975705000000,1764457024565000000,0
workspaceModel.cachedValue.from.cache.count,1764456975705000000,1764457024565000000,8
workspaceModel.collect.changes.ms,1764456975705000000,1764457024565000000,0
workspaceModel.cachedValue.calculated.count,1764456975705000000,1764457024565000000,1
workspaceModel.cachedValueWithParameters.clear.count,1764456975705000000,1764457024565000000,0
workspaceModel.on.changed.ms,1764456975705000000,1764457024565000000,0
workspaceModel.on.before.changed.ms,1764456975705000000,1764457024565000000,0
workspaceModel.check.recursive.update.ms,1764456975705000000,1764457024565000000,0
workspaceModel.updates.precise.ms,1764456975705000000,1764457024565000000,0
workspaceModel.cachedValue.total.get.count,1764456975705000000,1764457024565000000,9
workspaceModel.pre.handlers.ms,1764456975705000000,1764457024565000000,0
workspaceModel.cachedValue.clear.count,1764456975705000000,1764457024565000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1764456975705000000,1764457024565000000,3
workspaceModel.initializing.ms,1764456975705000000,1764457024565000000,0
workspaceModel.full.replace.project.model.ms,1764456975705000000,1764457024565000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1764456975705000000,1764457024565000000,0
workspaceModel.init.bridges.ms,1764456975705000000,1764457024565000000,0
StorageLockContext.competingThreads.90P,1764456975705000000,1764457024565000000,0
DirectByteBufferAllocator.reclaimed,1764456975705000000,1764457024565000000,43
FilePageCache.pageLoads,1764456975705000000,1764457024565000000,71
FilePageCache.pageHits,1764456975705000000,1764457024565000000,0
FilePageCache.capacityInBytes,1764456975705000000,1764457024565000000,629145600
FilePageCache.maxRegisteredFiles,1764456975705000000,1764457024565000000,186
FilePageCache.pageLoadsAboveSizeThreshold,1764456975705000000,1764457024565000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1764456975705000000,1764457024565000000,41943040
DirectByteBufferAllocator.hits,1764456975705000000,1764457024565000000,3
DirectByteBufferAllocator.disposed,1764456975705000000,1764457024565000000,28
FilePageCache.maxCacheSizeInBytes,1764456975705000000,1764457024565000000,71303168
FilePageCache.uncachedFileAccess,1764456975705000000,1764457024565000000,39
StorageLockContext.competingThreads.max,1764456975705000000,1764457024565000000,0
StorageLockContext.competingThreads.avg,1764456975705000000,1764457024565000000,0.0
FilePageCache.totalPageDisposalsUs,1764456975705000000,1764457024565000000,3227
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1764456975705000000,1764457024565000000,41943040
FilePageCache.totalPageLoadsUs,1764456975705000000,1764457024565000000,567041
DirectByteBufferAllocator.misses,1764456975705000000,1764457024565000000,68
FileChannelInterruptsRetryer.totalRetriedAttempts,1764456975705000000,1764457024565000000,0
FilePageCache.disposedBuffers,1764456975705000000,1764457024565000000,71
FilePageCache.pageFastCacheHits,1764456975705000000,1764457024565000000,1376
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1764456975705000000,1764457024565000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1764456975705000000,1764457024565000000,0
workspaceModel.sync.entities.ms,1764456975705000000,1764457024565000000,0
jps.global.initialize.library.bridges.after.loading.ms,1764456975705000000,1764457024565000000,3
jps.library.entities.serializer.load.entities.ms,1764456975705000000,1764457024565000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1764456975705000000,1764457024565000000,0
workspaceModel.global.apply.state.to.project.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1764456975705000000,1764457024565000000,0
workspaceModel.load.cache.metadata.from.file.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1764456975705000000,1764457024565000000,0
workspaceModel.global.updates.count,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1764456975705000000,1764457024565000000,0
jps.global.get.library.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.instances.count,1764456975705000000,1764457024565000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1764456975705000000,1764457024565000000,0
workspaceModel.save.cache.to.file.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1764456975705000000,1764457024565000000,0
workspaceModel.do.save.caches.ms,1764456975705000000,1764457024565000000,0
jps.app.storage.content.writer.save.component.ms,1764456975705000000,1764457024565000000,3
jps.library.entities.serializer.save.entities.ms,1764456975705000000,1764457024565000000,0
jps.global.initialize.library.bridges.ms,1764456975705000000,1764457024565000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1764456975705000000,1764457024565000000,0
workspaceModel.load.cache.from.file.ms,1764456975705000000,1764457024565000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1764456975705000000,1764457024565000000,5
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1764456975705000000,1764457024565000000,0
jps.global.handle.changed.events.ms,1764456975705000000,1764457024565000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1764456975705000000,1764457024565000000,0
